fecha,tmed,tmin,tmax,hrMedia,tmed_max,tmed_min,tmed_mean,tmin_max,tmin_min,tmin_mean,tmax_max,tmax_min,tmax_mean,hrMedia_max,hrMedia_min,hrMedia_mean,estacion_Invierno,estacion_Otoño,estacion_Primavera,estacion_Verano,mes
2022-09-25,20.200000762939453,18.399999618530273,22.0,72.0,23.600000381469727,20.200000762939453,22.200000127156574,20.700000762939453,17.600000381469727,19.200000127156574,27.799999237060547,22.0,25.216666221618652,76.0,41.0,65.33333333333333,False,True,False,False,9
2022-09-26,19.399999618530273,16.700000762939453,22.0,66.0,25.200000762939453,19.399999618530273,22.43333339691162,21.100000381469727,16.700000762939453,19.316666920979817,29.299999237060547,22.0,25.549999872843426,76.0,48.0,64.83333333333333,False,True,False,False,9
2022-09-27,21.5,16.299999237060547,26.700000762939453,45.0,24.600000381469727,21.5,22.133333206176758,21.200000762939453,16.299999237060547,18.883333206176758,28.0,23.899999618530273,25.383333206176758,85.0,45.0,67.66666666666667,False,True,False,False,9
2022-09-28,20.600000381469727,16.600000381469727,24.600000381469727,47.0,24.950000762939453,20.600000381469727,21.891667048136394,20.700000762939453,16.600000381469727,18.68333371480306,30.600000381469727,23.200000762939453,25.316666920979817,88.0,47.0,65.0,False,True,False,False,9
2022-09-29,20.799999237060547,16.399999618530273,25.200000762939453,44.0,22.0,20.799999237060547,21.31666628519694,20.0,16.399999618530273,18.233333269755047,25.200000762939453,23.799999237060547,24.383333524068195,83.0,44.0,65.33333333333333,False,True,False,False,9
2022-09-30,18.799999237060547,15.800000190734863,21.899999618530273,69.0,22.399999618530273,18.799999237060547,21.133333524068195,20.600000381469727,15.800000190734863,18.716667016347248,25.5,21.899999618530273,23.583333015441895,83.0,64.0,74.66666666666667,False,True,False,False,9
2022-10-01,18.799999237060547,16.5,21.100000381469727,54.0,23.399999618530273,18.799999237060547,21.683333079020183,19.299999237060547,16.5,18.39999993642171,28.200000762939453,21.100000381469727,24.96666685740153,79.0,54.0,66.33333333333333,False,True,False,False,10
2022-10-02,20.0,18.700000762939453,21.399999618530273,61.0,23.399999618530273,20.0,21.749999682108562,19.5,17.399999618530273,18.699999809265137,27.200000762939453,21.399999618530273,24.833333015441895,84.0,50.0,63.833333333333336,False,True,False,False,10
2022-10-03,22.200000762939453,18.399999618530273,26.0,66.0,23.399999618530273,20.200000762939453,21.900000254313152,19.700000762939453,17.200000762939453,18.133333524068195,27.600000381469727,22.700000762939453,25.64999993642171,73.0,62.0,66.83333333333333,False,True,False,False,10
2022-10-04,19.200000762939453,17.0,21.299999237060547,92.0,22.899999618530273,17.5,20.52499993642171,20.0,14.600000381469727,17.666666666666668,25.799999237060547,20.399999618530273,23.35000006357829,92.0,57.0,68.5,False,True,False,False,10
2022-10-05,20.600000381469727,16.200000762939453,24.899999618530273,86.0,21.600000381469727,19.100000381469727,20.60000006357829,19.600000381469727,14.399999618530273,17.116666793823242,24.899999618530273,23.299999237060547,24.06666628519694,86.0,59.0,73.33333333333333,False,True,False,False,10
2022-10-06,21.0,18.899999618530273,23.0,79.0,23.0,19.0,20.89999993642171,20.100000381469727,16.200000762939453,18.03333314259847,25.899999618530273,21.799999237060547,23.75,91.0,64.0,76.33333333333333,False,True,False,False,10
2022-10-07,21.799999237060547,19.600000381469727,24.100000381469727,76.0,23.299999237060547,19.200000762939453,21.43333339691162,19.600000381469727,15.300000190734863,18.266666571299236,27.100000381469727,23.0,24.616666793823242,78.0,63.0,71.83333333333333,False,True,False,False,10
2022-10-08,22.600000381469727,19.700000762939453,25.600000381469727,74.0,22.600000381469727,19.700000762939453,21.416666984558105,19.700000762939453,15.800000190734863,18.350000222524006,25.899999618530273,23.200000762939453,24.500000317891438,80.0,64.0,73.5,False,True,False,False,10
2022-10-09,23.34999942779541,20.700000762939453,26.700000762939453,72.0,23.34999942779541,20.200000762939453,21.4416667620341,20.700000762939453,16.5,18.700000127156574,26.700000762939453,23.100000381469727,24.333333651224773,82.0,62.0,71.5,False,True,False,False,10
2022-10-10,22.0,19.799999237060547,24.299999237060547,85.0,22.200000762939453,20.600000381469727,21.233333587646484,20.700000762939453,17.200000762939453,18.85000006357829,24.299999237060547,22.700000762939453,23.650000254313152,85.0,73.0,78.16666666666667,False,True,False,False,10
2022-10-11,20.600000381469727,19.200000762939453,21.899999618530273,90.0,22.5,20.0,21.516666412353516,20.200000762939453,16.899999618530273,18.833333651224773,26.100000381469727,21.899999618530273,24.200000127156574,90.0,62.0,75.66666666666667,False,True,False,False,10
2022-10-12,21.700000762939453,18.899999618530273,24.5,79.0,22.399999618530273,18.5,20.866666475931805,19.700000762939453,16.299999237060547,18.316666920979817,25.200000762939453,20.700000762939453,23.416666984558105,82.0,76.0,78.33333333333333,False,True,False,False,10
2022-10-13,23.100000381469727,19.799999237060547,26.399999618530273,72.0,23.100000381469727,18.799999237060547,21.083333015441895,19.799999237060547,15.600000381469727,17.933333079020183,26.5,22.0,24.25,81.0,66.0,75.16666666666667,False,True,False,False,10
2022-10-14,21.899999618530273,18.200000762939453,25.600000381469727,67.0,22.600000381469727,17.799999237060547,20.583333015441895,20.200000762939453,14.899999618530273,18.050000190734863,25.600000381469727,20.799999237060547,23.14999993642171,88.0,63.0,74.16666666666667,False,True,False,False,10
2022-10-15,21.0,18.0,24.0,69.0,21.799999237060547,18.0,19.96666653951009,18.100000381469727,15.100000381469727,16.78333346048991,25.5,20.799999237060547,23.14999993642171,96.0,65.0,73.0,False,True,False,False,10
2022-10-16,20.600000381469727,16.799999237060547,24.5,68.0,21.600000381469727,16.600000381469727,19.400000254313152,18.799999237060547,13.300000190734863,16.249999523162842,24.5,19.899999618530273,22.583333015441895,91.0,57.0,70.5,False,True,False,False,10
2022-10-17,22.399999618530273,19.600000381469727,25.200000762939453,65.0,22.799999237060547,17.0,20.199999809265137,20.200000762939453,13.100000381469727,17.18333355585734,25.5,20.899999618530273,23.21666653951009,95.0,59.0,72.0,False,True,False,False,10
2022-10-18,22.200000762939453,19.5,25.0,76.0,22.799999237060547,16.600000381469727,20.633333206176758,19.799999237060547,13.399999618530273,17.449999809265137,26.0,19.799999237060547,23.849999745686848,82.0,42.0,70.0,False,True,False,False,10
2022-10-19,21.799999237060547,19.799999237060547,23.899999618530273,86.0,22.0,17.600000381469727,19.849999745686848,21.0,13.800000190734863,17.333333333333332,23.899999618530273,21.399999618530273,22.383333206176758,87.0,58.0,76.33333333333333,False,True,False,False,10
2022-10-20,20.0,19.0,21.100000381469727,92.0,21.399999618530273,17.799999237060547,19.666666666666668,19.0,14.300000190734863,16.666666984558105,25.100000381469727,20.299999237060547,22.68333339691162,92.0,47.0,68.0,False,True,False,False,10
2022-10-21,21.5,18.899999618530273,24.100000381469727,86.0,21.5,16.399999618530273,19.150000254313152,18.899999618530273,13.199999809265137,16.083333492279053,25.0,19.600000381469727,22.200000127156574,86.0,58.0,74.66666666666667,False,True,False,False,10
2022-10-22,20.799999237060547,18.399999618530273,23.100000381469727,87.0,20.799999237060547,17.799999237060547,19.266666412353516,18.399999618530273,13.800000190734863,16.416666825612385,23.399999618530273,20.299999237060547,22.116666475931805,87.0,63.0,74.66666666666667,False,True,False,False,10
2022-10-23,21.799999237060547,18.799999237060547,24.700000762939453,85.0,21.799999237060547,17.5,18.916666666666668,18.799999237060547,14.199999809265137,16.583332856496174,24.700000762939453,18.799999237060547,21.21666653951009,93.0,74.0,83.33333333333333,False,True,False,False,10
